,arb,asm,ben,brx,bul,cat,ces,cmn,dan,deu,ell,eng,epo,eus,fin,fra,glg,guj,heb,hin,hrv,hun,ind,isl,ita,jpn,kan,kok,kor,lat,lit,mal,mon,msa,nep,nld,nob,ori,pan,pol,por,ron,rus,san,slk,slv,spa,sqi,swe,tam,tel,tha,tsn,tur,ukr,urd,vie,zsm,gla,gle,hye,kas,kat,mkd,nno,nso,zul
ukr,0.232,0.65,0.602,0.415,6.208,1.791,6.344,0.08,2.628,2.43,0.86,1.572,2.61,1.508,1.058,1.851,1.791,0.831,0.398,0.844,4.579,2.112,0.86,1.155,2.146,0.791,0.417,0.672,0.381,1.832,2.554,0.443,0.78,0.802,0.641,2.225,2.365,0.58,0.827,4.498,2.32,1.914,8.148,0.409,5.038,4.113,1.767,2.001,2.545,0.27,0.339,0.339,0.519,1.736,1,0.859,0.451,0.82,0.952,1.362,1.394,0.475,1.99,7.913,2.558,0.303,0.433
urd,1.061,3.918,4.259,2.877,0.737,0.722,0.749,0.141,0.895,0.708,0.463,0.752,0.789,0.551,0.41,0.708,0.601,6.14,0.296,4.221,0.729,0.8,0.654,0.58,0.766,0.486,2.09,3.719,0.294,0.764,0.586,1.673,0.207,0.764,4.81,1.059,0.843,3.871,8.681,0.72,0.978,0.598,0.723,1.633,0.579,0.62,0.682,0.644,0.869,0.929,1.604,0.47,0.382,1.327,0.859,1,0.438,0.829,0.677,0.889,0.743,8.038,0.641,1.039,1.033,0.285,0.351
vie,0.169,0.362,0.412,0.438,0.339,0.382,0.481,1.115,0.579,0.465,0.201,0.266,0.473,0.389,0.292,0.404,0.474,0.504,0.2,0.367,0.411,0.549,0.292,0.402,0.46,0.869,0.222,0.395,1.764,0.303,0.461,0.341,0.168,0.282,0.38,0.573,0.517,0.399,0.519,0.404,0.489,0.361,0.28,0.17,0.388,0.418,0.406,0.419,0.447,0.232,0.127,0.228,0.18,0.55,0.451,0.438,1,0.364,0.276,0.525,0.315,0.294,0.236,0.465,0.654,0.065,0.162
zsm,0.519,0.842,0.873,0.66,0.963,1.421,0.977,0.046,1.415,1.226,0.498,1.238,1.335,1.237,0.634,1.306,1.262,1.019,0.32,0.72,1.032,1.046,39.924,0.387,1.378,0.576,0.604,0.85,0.345,0.997,1.139,0.611,0.253,43.057,0.977,1.301,1.199,0.9,0.959,0.933,1.604,1.14,0.804,0.42,0.943,1.108,1.351,1.269,1.284,0.479,0.484,0.314,0.324,1.223,0.82,0.829,0.364,1,0.428,0.805,0.454,0.718,0.664,0.958,1.236,0.271,0.242
gla,0.116,0.549,0.575,0.543,0.776,1.327,0.957,0.042,1.38,1.247,0.624,1.362,1.368,0.87,0.461,1.4,1.171,0.676,0.137,0.682,0.713,0.762,0.37,0.999,1.446,0.534,0.495,0.621,0.186,1.627,0.722,0.466,0.197,0.418,0.672,1.484,1.347,0.612,0.549,0.752,1.702,1.078,0.779,0.292,0.715,0.729,1.175,0.991,1.146,0.318,0.25,0.244,0.336,0.537,0.952,0.677,0.276,0.428,1,8.486,0.489,0.463,0.692,1.007,1.627,0.138,0.326
gle,0.265,0.806,0.806,0.663,1.164,1.823,1.445,0.044,1.9,1.825,0.897,1.877,2.116,1.326,0.682,1.88,1.764,0.929,0.27,0.782,1.293,1.336,0.629,1.092,2.083,0.685,0.618,0.859,0.388,2.603,1.315,0.568,0.288,0.689,0.691,2.024,1.603,0.905,0.873,1.202,2.474,1.639,1.14,0.287,1.153,1.309,1.772,1.461,1.662,0.395,0.406,0.296,0.462,1.151,1.362,0.889,0.525,0.805,8.486,1,0.741,0.629,0.803,1.578,1.781,0.244,0.409
hye,0.332,0.516,0.467,0.533,0.993,0.799,1.01,0.108,0.973,1.113,0.673,0.67,1.154,0.693,0.533,0.801,0.746,0.706,0.392,0.671,0.826,1.057,0.517,0.486,0.976,0.457,0.339,0.562,0.387,1.101,1.014,0.405,0.38,0.513,0.746,1.112,0.915,0.614,0.789,0.874,1.112,0.842,0.996,0.36,0.77,0.768,0.797,0.987,0.814,0.332,0.289,0.292,0.275,1.194,1.394,0.743,0.315,0.454,0.489,0.741,1,0.38,1.423,1.521,1.129,0.209,0.243
kas,0.917,3.876,4.74,3.373,0.578,0.773,0.558,0.034,0.874,0.717,0.495,0.891,0.807,0.596,0.474,0.77,0.671,7.456,0.236,1.987,0.595,0.697,0.609,0.458,0.854,0.549,2.44,5.078,0.287,0.676,0.659,1.813,0.19,0.732,5.807,0.88,0.771,4.733,8.815,0.625,0.901,0.645,0.462,1.285,0.656,0.528,0.712,0.676,0.822,1.165,1.784,0.373,0.343,1.157,0.475,8.038,0.294,0.718,0.463,0.629,0.38,1,0.418,0.766,0.864,0.374,0.334
kat,0.321,0.408,0.47,0.531,1.669,1.139,1.392,0.013,1.392,1.365,0.869,0.972,1.747,1.097,0.673,1.193,1.006,0.472,0.255,0.563,1.166,1.494,0.621,0.459,1.434,0.458,0.401,0.533,0.187,1.255,1.567,0.285,0.394,0.629,0.55,1.125,1.234,0.622,0.55,1.068,1.544,1.175,1.372,0.081,0.928,1.147,1.163,1.4,1.279,0.165,0.273,0.244,0.294,1.454,1.99,0.641,0.236,0.664,0.692,0.803,1.423,0.418,1,2.165,1.297,0.196,0.352
mkd,0.462,0.943,1.055,0.897,10.376,2.262,6.534,0.076,3.155,2.851,1.318,1.788,3.193,1.883,1.097,2.298,2.013,1.159,0.515,1.051,8.744,2.652,0.912,1.358,2.603,0.778,0.593,1.145,0.412,2.475,2.59,0.707,0.741,0.924,1.231,2.594,2.824,0.982,1.241,3.977,3.065,2.705,6.671,0.45,5.415,6.812,2.217,2.357,2.625,0.407,0.478,0.454,0.573,2.62,7.913,1.039,0.465,0.958,1.007,1.578,1.521,0.766,2.165,1,3.301,0.361,0.383
nno,0.255,0.991,1.23,0.739,4.199,3.463,2.833,0.075,31.443,7.449,1.38,4.302,3.881,2.544,1.73,3.507,2.881,1.211,0.602,0.883,2.996,2.245,1.53,7.083,3.988,1.576,0.792,1.13,0.621,2.392,2.911,0.807,0.445,1.522,0.892,7.165,33.574,1.165,1.327,2.585,4.204,3.197,2.457,0.532,2.84,2.716,3.343,3.362,13.608,0.383,0.645,0.479,0.781,1.74,2.558,1.033,0.654,1.236,1.627,1.781,1.129,0.864,1.297,3.301,1,0.6,0.465
nso,0.106,0.282,0.384,0.298,0.288,0.33,0.256,0.008,0.525,0.377,0.211,0.436,0.432,0.306,0.236,0.338,0.337,0.398,0.065,0.222,0.29,0.313,0.263,0.312,0.409,0.333,0.24,0.357,0.145,0.194,0.257,0.203,0.063,0.306,0.349,0.607,0.495,0.367,0.299,0.237,0.356,0.313,0.233,0.113,0.204,0.227,0.253,0.223,0.38,0.079,0.187,0.134,6.007,0.177,0.303,0.285,0.065,0.271,0.138,0.244,0.209,0.374,0.196,0.361,0.6,1,0.792
zul,0.092,0.346,0.326,0.42,0.3,0.309,0.275,0.052,0.418,0.369,0.191,0.322,0.379,0.275,0.173,0.312,0.312,0.362,0.131,0.336,0.3,0.357,0.219,0.307,0.306,0.224,0.246,0.347,0.117,0.319,0.248,0.238,0.073,0.237,0.365,0.487,0.385,0.329,0.399,0.306,0.332,0.233,0.252,0.141,0.225,0.283,0.287,0.311,0.378,0.158,0.178,0.089,0.752,0.373,0.433,0.351,0.162,0.242,0.326,0.409,0.243,0.334,0.352,0.383,0.465,0.792,1
