,arb,asm,ben,brx,bul,cat,ces,cmn,dan,deu,ell,eng,epo,eus,fin,fra,glg,guj,heb,hin,hrv,hun,ind,isl,ita,jpn,kan,kok,kor,lat,lit,mal,mon,msa,nep,nld,nob,ori,pan,pol,por,ron,rus,san,slk,slv,spa,sqi,swe,tam,tel,tha,tsn,tur,ukr,urd,vie,zsm,gla,gle,hye,kas,kat,mkd,nno,nso,zul
hrv,0.254,0.665,0.788,0.434,10.397,3.749,8.205,0.064,3.097,3.137,1.254,3.418,2.824,2.788,1.39,3.626,2.977,0.903,0.474,0.589,1,2.243,1.4,1.045,3.852,0.983,0.44,0.826,0.4,1.788,3.694,0.523,0.567,1.345,0.687,3.187,2.822,0.842,0.955,4.676,4.036,4.004,7.037,0.442,14.332,28.16,3.617,3.703,2.994,0.237,0.302,0.358,0.448,1.526,4.579,0.729,0.411,1.032,0.713,1.293,0.826,0.595,1.166,8.744,2.996,0.29,0.3
hun,0.279,0.623,0.775,0.586,1.975,2.166,2.869,0.058,2.781,2.986,1.173,1.844,3.073,2.055,1.581,2.086,2.061,0.904,0.436,0.645,2.243,1,1.004,0.742,2.633,0.834,0.456,0.87,0.476,1.486,2.195,0.416,0.449,0.991,0.666,2.315,2.283,0.899,0.994,1.943,2.601,2.133,1.839,0.181,2.334,2.185,2.105,2.139,2.555,0.268,0.396,0.339,0.361,2,2.112,0.8,0.549,1.046,0.762,1.336,1.057,0.697,1.494,2.652,2.245,0.313,0.357
ind,0.577,0.647,0.678,0.493,1.094,1.731,1.122,0.065,1.528,1.382,0.564,1.674,1.381,1.563,0.802,1.791,1.346,0.8,0.318,0.55,1.4,1.004,1,0.396,1.938,0.668,0.466,0.68,0.303,0.89,1.437,0.504,0.298,70.725,0.675,1.733,1.366,0.714,0.84,1.163,2.045,1.615,0.986,0.332,1.307,1.394,1.707,1.63,1.427,0.391,0.43,0.283,0.293,1.118,0.86,0.654,0.292,39.924,0.37,0.629,0.517,0.609,0.621,0.912,1.53,0.263,0.219
isl,0.122,0.468,0.618,0.424,1.268,0.882,1.028,0.042,5.825,2.523,0.496,1.698,1.201,0.653,0.828,0.972,0.827,0.666,0.195,0.529,1.045,0.742,0.396,1,1.053,0.564,0.397,0.539,0.307,1.017,0.809,0.531,0.215,0.415,0.464,2.369,5.66,0.58,0.68,0.87,1.15,0.791,0.785,0.355,1.007,0.873,0.851,0.788,5.482,0.262,0.336,0.265,0.347,0.559,1.155,0.58,0.402,0.387,0.999,1.092,0.486,0.458,0.459,1.358,7.083,0.312,0.307
ita,0.29,0.822,0.99,0.631,3.05,11.194,3.113,0.067,4.09,4.186,1.923,6.757,6.123,5.518,1.825,9.544,8.2,1.104,0.606,0.649,3.852,2.633,1.938,1.053,1,1.675,0.572,1.049,0.518,5.814,3.487,0.599,0.545,1.938,0.91,5.195,3.686,1.062,1.08,3.511,12.172,7.824,2.816,0.478,3.332,3.622,10.451,5.173,3.695,0.333,0.487,0.523,0.514,2.088,2.146,0.766,0.46,1.378,1.446,2.083,0.976,0.854,1.434,2.603,3.988,0.409,0.306
jpn,0.136,0.54,0.677,0.405,0.999,1.3,0.915,2.259,1.39,1.249,0.486,1.786,1.244,1.172,0.686,1.406,1.01,0.658,0.211,0.458,0.983,0.834,0.668,0.564,1.675,1,0.434,0.6,2.153,0.738,1.106,0.359,0.286,0.738,0.533,1.302,1.259,0.684,0.725,1.023,1.629,1.183,0.851,0.143,0.921,0.86,1.219,1.171,1.207,0.183,0.389,0.352,0.366,0.827,0.791,0.486,0.869,0.576,0.534,0.685,0.457,0.549,0.458,0.778,1.576,0.333,0.224
kan,0.178,8.468,9.195,3.676,0.465,0.437,0.446,0.053,0.669,0.474,0.263,0.564,0.569,0.361,0.262,0.459,0.421,14.712,0.165,2.83,0.44,0.456,0.466,0.397,0.572,0.434,1,10.514,0.252,0.602,0.277,7.619,0.087,0.58,13.584,0.565,0.633,9.128,9.201,0.344,0.606,0.417,0.387,10.557,0.296,0.421,0.444,0.433,0.507,3.392,9.359,0.35,0.222,0.571,0.417,2.09,0.222,0.604,0.495,0.618,0.339,2.44,0.401,0.593,0.792,0.24,0.246
kok,0.286,8.976,11.165,4.543,0.718,0.915,0.694,0.09,1.002,0.905,0.6,0.888,1.146,0.841,0.394,0.812,0.792,17.321,0.253,3.542,0.826,0.87,0.68,0.539,1.049,0.6,10.514,1,0.351,0.888,0.66,6.188,0.207,0.839,14.08,0.968,0.944,11.74,12.409,0.659,1.257,0.766,0.645,8.123,0.692,0.689,0.91,0.68,0.849,2.637,5.989,0.49,0.305,1.102,0.672,3.719,0.395,0.85,0.621,0.859,0.562,5.078,0.533,1.145,1.13,0.357,0.347
kor,0.153,0.349,0.403,0.214,0.325,0.427,0.363,1.605,0.524,0.479,0.146,0.53,0.389,0.454,0.333,0.368,0.321,0.402,0.139,0.354,0.4,0.476,0.303,0.307,0.518,2.153,0.252,0.351,1,0.295,0.419,0.247,0.094,0.328,0.255,0.607,0.484,0.365,0.395,0.348,0.565,0.37,0.374,0.133,0.326,0.359,0.35,0.299,0.528,0.173,0.218,0.248,0.215,0.383,0.381,0.294,1.764,0.345,0.186,0.388,0.387,0.287,0.187,0.412,0.621,0.145,0.117
lat,0.177,1.091,1.032,0.848,1.573,6.21,1.902,0.029,2.759,2.728,1.372,3.499,5.9,2.409,0.847,5.386,6.107,1.136,0.292,0.787,1.788,1.486,0.89,1.017,5.814,0.738,0.602,0.888,0.295,1,1.74,0.56,0.288,0.849,1.265,2.878,2.369,1.116,1.027,1.422,7.991,4.701,1.55,0.758,1.547,1.95,6.082,2.579,1.998,0.377,0.486,0.34,0.416,1.39,1.832,0.764,0.303,0.997,1.627,2.603,1.101,0.676,1.255,2.475,2.392,0.194,0.319
lit,0.218,0.53,0.65,0.368,3.661,3.031,2.973,0.061,2.961,2.944,1.246,2.683,2.935,2.618,1.541,3.037,2.763,0.715,0.652,0.489,3.694,2.195,1.437,0.809,3.487,1.106,0.277,0.66,0.419,1.74,1,0.337,0.691,1.377,0.558,2.926,2.742,0.705,0.761,3.078,3.825,3.028,2.925,0.133,4.153,3.633,2.951,3.057,3.079,0.137,0.294,0.332,0.39,1.706,2.554,0.586,0.461,1.139,0.722,1.315,1.014,0.659,1.567,2.59,2.911,0.257,0.248
mal,0.186,5.54,5.102,2.069,0.487,0.477,0.517,0.082,0.664,0.556,0.359,0.494,0.58,0.414,0.228,0.459,0.399,9.673,0.221,2.499,0.523,0.416,0.504,0.531,0.599,0.359,7.619,6.188,0.247,0.56,0.337,1,0.085,0.568,7.991,0.725,0.66,5.577,5.428,0.462,0.655,0.403,0.434,10.963,0.435,0.425,0.494,0.32,0.572,4.771,6.886,0.461,0.231,0.564,0.443,1.673,0.341,0.611,0.466,0.568,0.405,1.813,0.285,0.707,0.807,0.203,0.238
mon,0.144,0.101,0.18,0.126,0.78,0.461,0.51,0.017,0.528,0.456,0.285,0.439,0.547,0.466,0.361,0.508,0.428,0.179,0.164,0.149,0.567,0.449,0.298,0.215,0.545,0.286,0.087,0.207,0.094,0.288,0.691,0.085,1,0.285,0.116,0.41,0.443,0.263,0.157,0.454,0.617,0.521,0.602,0.007,0.482,0.604,0.484,0.541,0.522,0.021,0.093,0.187,0.108,0.532,0.78,0.207,0.168,0.253,0.197,0.288,0.38,0.19,0.394,0.741,0.445,0.063,0.073
msa,0.622,0.771,0.816,0.625,1.131,1.751,1.085,0.066,1.495,1.346,0.628,1.691,1.328,1.567,0.785,1.796,1.294,0.932,0.335,0.632,1.345,0.991,70.725,0.415,1.938,0.738,0.58,0.839,0.328,0.849,1.377,0.568,0.285,1,0.867,1.662,1.342,0.87,0.933,1.121,2.043,1.618,0.985,0.356,1.291,1.375,1.683,1.67,1.43,0.442,0.5,0.345,0.351,1.074,0.802,0.764,0.282,43.057,0.418,0.689,0.513,0.732,0.629,0.924,1.522,0.306,0.237
nep,0.517,15.886,15.457,6.857,0.52,0.907,0.77,0.085,0.751,0.801,0.573,0.736,1.097,0.697,0.38,0.728,0.685,23.602,0.305,5.176,0.687,0.666,0.675,0.464,0.91,0.533,13.584,14.08,0.255,1.265,0.558,7.991,0.116,0.867,1,1.124,0.752,16.287,16.464,0.556,1.163,0.588,0.628,12.736,0.527,0.573,0.847,0.644,0.651,2.835,8.574,0.542,0.252,1.103,0.641,4.81,0.38,0.977,0.672,0.691,0.746,5.807,0.55,1.231,0.892,0.349,0.365
nld,0.246,1.102,1.143,0.788,2.519,4.892,2.826,0.125,7.155,9.196,1.391,6.081,4.28,3.138,1.72,5.326,3.817,1.291,0.566,0.839,3.187,2.315,1.733,2.369,5.195,1.302,0.565,0.968,0.607,2.878,2.926,0.725,0.41,1.662,1.124,1,6.695,1.043,1.333,2.823,5.537,4.321,2.48,0.457,2.888,3.023,4.459,3.389,5.855,0.451,0.49,0.454,0.671,1.788,2.225,1.059,0.573,1.301,1.484,2.024,1.112,0.88,1.125,2.594,7.165,0.607,0.487
nob,0.198,0.786,1.034,0.608,3.55,3.209,2.766,0.073,31.085,7.119,1.305,4.039,3.847,2.353,1.593,3.296,2.849,0.996,0.551,0.731,2.822,2.283,1.366,5.66,3.686,1.259,0.633,0.944,0.484,2.369,2.742,0.66,0.443,1.342,0.752,6.695,1,0.991,1.122,2.447,3.928,3.001,2.307,0.411,2.66,2.557,3.064,3.111,13.299,0.32,0.525,0.413,0.624,1.732,2.365,0.843,0.517,1.199,1.347,1.603,0.915,0.771,1.234,2.824,33.574,0.495,0.385
ori,0.235,18.216,21.782,5.134,0.684,0.918,0.676,0.056,1.089,0.987,0.647,1.011,1.231,0.853,0.459,0.9,0.859,17.32,0.184,3.209,0.842,0.899,0.714,0.58,1.062,0.684,9.128,11.74,0.365,1.116,0.705,5.577,0.263,0.87,16.287,1.043,0.991,1,13.158,0.635,1.19,0.713,0.588,9.418,0.672,0.693,0.872,0.625,0.904,1.965,5.701,0.56,0.328,1.083,0.58,3.871,0.399,0.9,0.612,0.905,0.614,4.733,0.622,0.982,1.165,0.367,0.329
pan,0.73,10.953,13.007,5.202,0.876,0.97,0.846,0.143,1.183,0.894,0.601,0.972,1.046,0.809,0.481,0.922,0.762,20.399,0.355,4.464,0.955,0.994,0.84,0.68,1.08,0.725,9.201,12.409,0.395,1.027,0.761,5.428,0.157,0.933,16.464,1.333,1.122,13.158,1,0.93,1.218,0.818,0.792,8.055,0.85,0.801,0.904,0.701,1.016,2.095,5.395,0.575,0.359,1.431,0.827,8.681,0.519,0.959,0.549,0.873,0.789,8.815,0.55,1.241,1.327,0.299,0.399
pol,0.244,0.559,0.653,0.351,4.111,3.05,5.171,0.076,2.671,2.841,1.03,2.583,2.54,2.477,1.287,2.898,2.409,0.782,0.488,0.585,4.676,1.943,1.163,0.87,3.511,1.023,0.344,0.659,0.348,1.422,3.078,0.462,0.454,1.121,0.556,2.823,2.447,0.635,0.93,1,3.538,3.065,3.883,0.275,6.098,4.458,2.896,2.641,2.616,0.244,0.272,0.345,0.392,1.525,4.498,0.72,0.404,0.933,0.752,1.202,0.874,0.625,1.068,3.977,2.585,0.237,0.306
por,0.363,1.006,1.147,0.791,3.324,17.325,3.315,0.057,4.357,4.616,1.882,7.944,7.275,6.199,1.785,11.979,14.994,1.242,0.744,0.847,4.036,2.601,2.045,1.15,12.172,1.629,0.606,1.257,0.565,7.991,3.825,0.655,0.617,2.043,1.163,5.537,3.928,1.19,1.218,3.538,1,9.065,2.92,0.364,3.507,3.695,17.414,5.352,3.87,0.422,0.502,0.503,0.585,2.176,2.32,0.978,0.489,1.604,1.702,2.474,1.112,0.901,1.544,3.065,4.204,0.356,0.332
ron,0.251,0.557,0.689,0.417,3.138,9.072,2.777,0.042,3.316,3.473,1.411,6.194,4.627,4.097,1.511,8.817,7.071,0.76,0.478,0.532,4.004,2.133,1.615,0.791,7.824,1.183,0.417,0.766,0.37,4.701,3.028,0.403,0.521,1.618,0.588,4.321,3.001,0.713,0.818,3.065,9.065,1,2.509,0.318,3.368,3.542,8.428,4.542,3.035,0.253,0.301,0.389,0.369,1.775,1.914,0.598,0.361,1.14,1.078,1.639,0.842,0.645,1.175,2.705,3.197,0.313,0.233
rus,0.231,0.467,0.642,0.423,8.461,2.467,6.17,0.063,2.494,2.961,0.937,2.025,2.668,1.946,1.02,2.435,1.979,0.774,0.427,0.616,7.037,1.839,0.986,0.785,2.816,0.851,0.387,0.645,0.374,1.55,2.925,0.434,0.602,0.985,0.628,2.48,2.307,0.588,0.792,3.883,2.92,2.509,1,0.335,6.566,5.721,2.252,2.304,2.374,0.216,0.268,0.29,0.365,1.539,8.148,0.723,0.28,0.804,0.779,1.14,0.996,0.462,1.372,6.671,2.457,0.233,0.252
